,name,workshop_date,position,text_length,num_upvotes,talker,quarter
0,zeyuxu1997,2019-10-10,0,23,16,Greene,F
1,ShuyanHuang,2019-10-10,1,27,17,Greene,F
2,liu431,2019-10-10,2,31,30,Greene,F
3,Leahjl,2019-10-10,3,23,12,Greene,F
4,wanitchayap,2019-10-10,4,82,19,Greene,F
5,KenChenCompEcon,2019-10-10,5,31,8,Greene,F
6,ruixili,2019-10-10,6,48,21,Greene,F
7,YuxinNg,2019-10-10,7,46,8,Greene,F
8,HaowenShang,2019-10-10,8,35,13,Greene,F
9,YanjieZhou,2019-10-10,9,45,6,Greene,F
10,romanticmonkey,2019-10-10,10,89,13,Greene,F
11,yutianlai,2019-10-10,11,34,8,Greene,F
12,jsgenan,2019-10-10,12,25,9,Greene,F
13,sunying2018,2019-10-10,13,43,15,Greene,F
14,ydeng117,2019-10-10,14,57,3,Greene,F
15,nswxin,2019-10-10,15,85,19,Greene,F
16,vinsonyz,2019-10-10,16,44,4,Greene,F
17,di-Tong,2019-10-10,17,49,5,Greene,F
18,SixueLiu96,2019-10-10,18,45,7,Greene,F
19,chiayunc,2019-10-10,19,84,23,Greene,F
20,timqzhang,2019-10-10,20,70,17,Greene,F
21,bakerwho,2019-10-10,21,26,5,Greene,F
22,goldengua,2019-10-10,22,31,2,Greene,F
23,nwrim,2019-10-10,23,70,14,Greene,F
24,skanthan95,2019-10-10,24,22,3,Greene,F
25,Yilun0221,2019-10-10,25,19,2,Greene,F
26,tonofshell,2019-10-10,26,35,3,Greene,F
27,dongchengecon,2019-10-10,27,46,1,Greene,F
28,chun-hu,2019-10-10,28,56,3,Greene,F
29,boyangqu,2019-10-10,29,27,0,Greene,F
30,anqi-hu,2019-10-10,30,44,1,Greene,F
31,ChivLiu,2019-10-10,31,71,2,Greene,F
32,fulinguo,2019-10-10,32,32,1,Greene,F
33,lulululugagaga,2019-10-10,33,27,2,Greene,F
34,MegicLF,2019-10-10,34,45,1,Greene,F
35,wu-yt,2019-10-10,35,18,2,Greene,F
36,yongfeilu,2019-10-10,36,62,2,Greene,F
37,bjcliang-uchi,2019-10-10,37,31,3,Greene,F
38,rkcatipon,2019-10-10,38,51,2,Greene,F
39,policyglot,2019-10-10,39,73,6,Greene,F
40,WMhYang,2019-10-10,40,55,6,Greene,F
41,AllisonXiong,2019-10-10,41,120,6,Greene,F
42,SoyBison,2019-10-10,42,67,1,Greene,F
43,anuraag94,2019-10-10,43,96,7,Greene,F
44,luyingjiang,2019-10-10,44,41,2,Greene,F
45,weijiexu-charlie,2019-10-10,45,39,1,Greene,F
46,Yiqing-Zh,2019-10-10,46,64,1,Greene,F
47,sanittawan,2019-10-10,47,54,5,Greene,F
48,lyl010,2019-10-10,48,60,2,Greene,F
49,SiyuanPengMike,2019-10-10,49,70,3,Greene,F
50,cytwill,2019-10-10,50,41,3,Greene,F
51,keertanavc,2019-10-10,51,21,5,Greene,F
52,tianyueniu,2019-10-10,52,25,0,Greene,F
53,Yilun0221,2019-10-17,0,53,30,Evans,F
54,wanitchayap,2019-10-17,1,91,38,Evans,F
55,policyglot,2019-10-17,2,133,52,Evans,F
56,tonofshell,2019-10-17,3,52,39,Evans,F
57,ShuyanHuang,2019-10-17,4,25,12,Evans,F
58,ydeng117,2019-10-17,5,49,31,Evans,F
59,timqzhang,2019-10-17,6,64,13,Evans,F
60,nwrim,2019-10-17,7,128,29,Evans,F
61,MegicLF,2019-10-17,8,70,11,Evans,F
62,vinsonyz,2019-10-17,9,48,11,Evans,F
63,bjcliang-uchi,2019-10-17,10,45,10,Evans,F
64,yongfeilu,2019-10-17,11,37,0,Evans,F
65,YanjieZhou,2019-10-17,12,42,2,Evans,F
66,KenChenCompEcon,2019-10-17,13,35,0,Evans,F
67,HaowenShang,2019-10-17,14,41,6,Evans,F
68,JuneZzj,2019-10-17,15,50,1,Evans,F
69,dongchengecon,2019-10-17,16,33,1,Evans,F
70,WMhYang,2019-10-17,17,83,3,Evans,F
71,sunying2018,2019-10-17,18,51,3,Evans,F
72,ShanglunLi,2019-10-17,19,25,3,Evans,F
73,SiyuanPengMike,2019-10-17,20,32,3,Evans,F
74,linghui-wu,2019-10-17,21,40,4,Evans,F
75,zeyuxu1997,2019-10-17,22,37,4,Evans,F
76,SoyBison,2019-10-17,23,45,4,Evans,F
77,dhruvalb,2019-10-17,24,21,13,Evans,F
78,chun-hu,2019-10-17,25,28,4,Evans,F
79,RuoyunTan,2019-10-17,26,46,3,Evans,F
80,di-Tong,2019-10-17,27,93,9,Evans,F
81,keertanavc,2019-10-17,28,20,5,Evans,F
82,lulululugagaga,2019-10-17,29,18,2,Evans,F
83,ziwnchen,2019-10-17,30,69,1,Evans,F
84,romanticmonkey,2019-10-17,31,30,0,Evans,F
85,hesongrun,2019-10-17,32,35,2,Evans,F
86,anuraag94,2019-10-17,33,67,6,Evans,F
87,nt546,2019-10-17,34,17,0,Evans,F
88,anqi-hu,2019-10-17,35,22,3,Evans,F
89,bazirou,2019-10-17,36,25,1,Evans,F
90,rkcatipon,2019-10-17,37,43,2,Evans,F
91,fulinguo,2019-10-17,38,25,2,Evans,F
92,yutianlai,2019-10-17,39,21,0,Evans,F
93,YuxinNg,2019-10-17,40,77,3,Evans,F
94,liu431,2019-10-17,41,25,5,Evans,F
95,chiayunc,2019-10-17,42,41,0,Evans,F
96,jtschoi,2019-10-17,43,98,5,Evans,F
97,ellenhsieh,2019-10-17,44,37,0,Evans,F
98,boyangqu,2019-10-17,45,30,0,Evans,F
99,SixueLiu96,2019-10-17,46,39,2,Evans,F
100,ChivLiu,2019-10-17,47,69,3,Evans,F
101,minminfly68,2019-10-17,48,46,2,Evans,F
102,luyingjiang,2019-10-17,49,23,0,Evans,F
103,tianyueniu,2019-10-17,50,28,2,Evans,F
104,Panyw97,2019-10-17,51,26,3,Evans,F
105,Yiqing-Zh,2019-10-17,52,15,0,Evans,F
106,hihowme,2019-10-17,53,31,3,Evans,F
107,bakerwho,2019-10-17,54,71,3,Evans,F
108,mingtao-gao,2019-10-17,55,36,6,Evans,F
109,bhargavvader,2019-10-17,56,84,6,Evans,F
110,skanthan95,2019-10-17,57,20,3,Evans,F
111,Leahjl,2019-10-17,58,21,2,Evans,F
112,harryxiong13,2019-10-17,59,28,2,Evans,F
113,wanitchayap,2019-10-24,0,132,49,Turner,F
114,WMhYang,2019-10-24,1,73,37,Turner,F
115,SoyBison,2019-10-24,2,28,32,Turner,F
116,ydeng117,2019-10-24,3,29,34,Turner,F
117,pdwaggoner,2019-10-24,4,122,51,Turner,F
118,linghui-wu,2019-10-24,5,48,33,Turner,F
119,hihowme,2019-10-24,6,48,8,Turner,F
120,policyglot,2019-10-24,7,102,41,Turner,F
121,pdwaggoner,2019-10-24,8,90,18,Turner,F
122,liu431,2019-10-24,9,44,46,Turner,F
123,chun-hu,2019-10-24,10,78,11,Turner,F
124,nswxin,2019-10-24,11,50,7,Turner,F
125,ShuyanHuang,2019-10-24,12,62,18,Turner,F
126,nwrim,2019-10-24,13,116,16,Turner,F
127,timqzhang,2019-10-24,14,87,24,Turner,F
128,vinsonyz,2019-10-24,15,20,5,Turner,F
129,rkcatipon,2019-10-24,16,125,14,Turner,F
130,tianyueniu,2019-10-24,17,60,14,Turner,F
131,bjcliang-uchi,2019-10-24,18,84,3,Turner,F
132,lulululugagaga,2019-10-24,19,51,14,Turner,F
133,romanticmonkey,2019-10-24,20,100,19,Turner,F
134,anuraag94,2019-10-24,21,123,12,Turner,F
135,Leahjl,2019-10-24,22,33,3,Turner,F
136,YuxinNg,2019-10-24,23,60,9,Turner,F
137,YanjieZhou,2019-10-24,24,33,6,Turner,F
138,harryxiong13,2019-10-24,25,32,13,Turner,F
139,sunying2018,2019-10-24,26,38,7,Turner,F
140,yongfeilu,2019-10-24,27,46,2,Turner,F
141,HaowenShang,2019-10-24,28,47,4,Turner,F
142,bakerwho,2019-10-24,29,49,4,Turner,F
143,PAHADRIANUS,2019-10-24,30,110,2,Turner,F
144,KenChenCompEcon,2019-10-24,31,42,4,Turner,F
145,ChivLiu,2019-10-24,32,46,4,Turner,F
146,ZhouXing-19,2019-10-24,33,93,5,Turner,F
147,zeyuxu1997,2019-10-24,34,29,4,Turner,F
148,ruixili,2019-10-24,35,57,0,Turner,F
149,di-Tong,2019-10-24,36,129,9,Turner,F
150,bhargavvader,2019-10-24,37,68,5,Turner,F
151,chiayunc,2019-10-24,38,76,6,Turner,F
152,dongchengecon,2019-10-24,39,49,2,Turner,F
153,weijiexu-charlie,2019-10-24,40,23,1,Turner,F
154,hesongrun,2019-10-24,41,37,5,Turner,F
155,luxin-tian,2019-10-24,42,97,5,Turner,F
156,heathercchen,2019-10-24,43,77,7,Turner,F
157,skanthan95,2019-10-24,44,105,6,Turner,F
158,dhruvalb,2019-10-24,45,79,12,Turner,F
159,sanittawan,2019-10-24,46,50,5,Turner,F
160,MegicLF,2019-10-24,47,80,3,Turner,F
161,RuoyunTan,2019-10-24,48,50,6,Turner,F
